Conversation,Condition,DriftType,CRS,BRA,ASI,CRR,HR,ASR,EDS,ERR,AdaptationAction
SNG01856.json,BASELINE,,0.9506046772003174,0.9506046772003174,0.0,0.0,0.04939532279968262,0.0,0.0,0.0,NONE
SNG01856.json,PROPOSED,DriftType.SLOT_UPDATE,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.7999999999999999,0.7,Retrieve Memory
SNG01856.json,BASELINE,,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,NONE
SNG01856.json,PROPOSED,DriftType.SLOT_INSERTION,1.0,1.0,0.635428372393944,0.0,0.0,1.0,0.6266666666666667,0.5851063829787234,Retrieve Memory
SNG01856.json,BASELINE,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,NONE
SNG01856.json,PROPOSED,DriftType.SLOT_DELETION,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.5599999999999999,0.5714285714285714,Retrieve Memory
SNG01856.json,BASELINE,,0.9506046772003174,0.9506046772003174,0.0,0.0,0.04939532279968262,0.0,0.0,0.0,NONE
SNG01856.json,PROPOSED,DriftType.CONTRADICTION,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.5599999999999999,0.5714285714285714,Retrieve Memory
SNG01856.json,BASELINE,,0.9506046772003174,0.9506046772003174,0.0,0.0,0.04939532279968262,0.0,0.0,0.0,NONE
SNG01856.json,PROPOSED,DriftType.GOAL_DRIFT,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.5599999999999999,0.5714285714285714,Retrieve Memory
SNG01856.json,BASELINE,,0.9506046772003174,0.9506046772003174,0.0,0.0,0.36626354853312176,0.0,0.0,0.0,NONE
SNG01856.json,PROPOSED,DriftType.MULTI_SLOT,1.0,1.0,0.6385968388378995,0.0,0.0,1.0,0.56,0.5714285714285714,Retrieve Memory
PMUL1635.json,BASELINE,,0.9646957516670227,0.9646957516670227,0.0,0.0,0.035304248332977295,0.0,0.0,0.0,NONE
PMUL1635.json,PROPOSED,DriftType.SLOT_UPDATE,1.0,1.0,0.5786178862333272,0.0,0.0,1.0,0.5599999999999999,0.5714285714285714,Retrieve Memory
